Call: survfit(formula = Surv(times, patient.vital_status) ~ stage, 
    data = `__LHS`)

2 observations deleted due to missingness 
                stage=1 
 time n.risk n.event survival std.err lower 95% CI upper 95% CI
   18    238       1    0.996 0.00419       0.9876        1.000
   22    230       1    0.991 0.00601       0.9798        1.000
   33    221       1    0.987 0.00747       0.9724        1.000
   38    214       1    0.982 0.00874       0.9654        1.000
   97    180       1    0.977 0.01026       0.9570        0.997
  267    120       1    0.969 0.01301       0.9436        0.995
  321    112       1    0.960 0.01550       0.9302        0.991
  339    111       1    0.951 0.01761       0.9176        0.987
  354    109       1    0.943 0.01949       0.9053        0.982
  460     95       1    0.933 0.02167       0.8913        0.976
  594     86       1    0.922 0.02398       0.8762        0.970
  653     79       1    0.910 0.02636       0.8601        0.963
  701     77       1    0.898 0.02855       0.8442        0.956
  777     73       1    0.886 0.03070       0.8280        0.948
  800     71       1    0.874 0.03270       0.8119        0.940
  855     69       1    0.861 0.03459       0.7958        0.932
  869     68       1    0.848 0.03633       0.7801        0.923
  949     62       1    0.835 0.03823       0.7630        0.913
  950     61       1    0.821 0.03998       0.7463        0.903
  987     59       1    0.807 0.04165       0.7294        0.893
 1073     55       1    0.792 0.04340       0.7117        0.882
 1135     52       1    0.777 0.04516       0.6935        0.871
 1136     51       1    0.762 0.04678       0.6755        0.859
 1167     49       1    0.746 0.04834       0.6574        0.847
 1171     47       1    0.731 0.04985       0.6390        0.835
 1194     46       1    0.715 0.05123       0.6209        0.822
 1229     42       1    0.698 0.05276       0.6015        0.809
 1258     39       1    0.680 0.05436       0.5811        0.795
 1288     38       1    0.662 0.05579       0.5610        0.781
 1421     34       1    0.642 0.05745       0.5391        0.765
 1454     32       1    0.622 0.05906       0.5167        0.750
 1600     26       1    0.598 0.06144       0.4893        0.732
 1622     25       1    0.574 0.06348       0.4626        0.713
 1653     23       1    0.549 0.06545       0.4351        0.694
 1725     21       1    0.523 0.06736       0.4066        0.673
 1798     18       1    0.494 0.06961       0.3750        0.651
 2174     14       1    0.459 0.07304       0.3359        0.627
 2318     13       1    0.424 0.07547       0.2988        0.601
 2620     10       1    0.381 0.07892       0.2541        0.572
 3169      8       1    0.334 0.08220       0.2058        0.541
 3361      7       1    0.286 0.08313       0.1617        0.506
 4961      3       1    0.191 0.09554       0.0714        0.509

                stage=2 
 time n.risk n.event survival std.err lower 95% CI upper 95% CI
   87     85       1    0.988  0.0117       0.9656        1.000
  118     79       1    0.976  0.0170       0.9430        1.000
  164     70       1    0.962  0.0217       0.9202        1.000
  167     69       1    0.948  0.0255       0.8992        0.999
  237     61       1    0.932  0.0294       0.8764        0.992
  258     59       1    0.917  0.0329       0.8543        0.983
  260     58       1    0.901  0.0359       0.8330        0.974
  321     51       1    0.883  0.0393       0.8092        0.964
  336     49       1    0.865  0.0424       0.7857        0.952
  428     46       1    0.846  0.0455       0.7616        0.940
  429     45       1    0.827  0.0482       0.7381        0.928
  500     42       1    0.808  0.0509       0.7138        0.914
  574     37       1    0.786  0.0540       0.6868        0.899
  582     36       1    0.764  0.0568       0.6605        0.884
  586     35       1    0.742  0.0592       0.6348        0.868
  626     34       1    0.720  0.0614       0.6096        0.851
  666     33       1    0.699  0.0633       0.5850        0.834
  677     32       1    0.677  0.0649       0.5607        0.817
  731     30       1    0.654  0.0666       0.5359        0.799
  760     29       1    0.632  0.0680       0.5115        0.780
  864     25       1    0.606  0.0698       0.4839        0.760
  896     22       2    0.551  0.0735       0.4244        0.716
